d,x,regime,phi_a,phi_b,target_difference,theoretical_bound,representation_distance,indistinguishable
0.1,0.31049579472307687,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.0544783025156117,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.12781138912279855,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.5299350613134177,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.38682739000250366,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.19045053559397296,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.70823724353804,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.8590777916043291,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.16224522718974566,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.8311837747437014,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.8310538229127051,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.6116406539533468,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.41945563763473737,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.6204050729196233,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.7189943149675428,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.33178555171797397,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.9051423788519595,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.056915519521514746,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.649876102332339,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.3622554796800377,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.02757930366150152,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.9062959550759366,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.08979263473561305,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.5810436969343922,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.33351277528201106,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.50021045803603,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.647829676283949,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.2532301034366604,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.45731192417320954,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.9656692799074889,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.7956682782658702,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.870113418836362,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.6471733576066463,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.12258281205750432,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.7924659681337014,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.9614538437044982,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.31204629970955255,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.14035420870731552,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.03808592435085645,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.031001603913969555,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.8829243891653982,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.28145074654754487,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.17575530208529533,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.5869151184415577,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.5263150616207499,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.12658518870624014,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.05105663381821013,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,-0.8536492355351997,preserved,-0.1,0.1,0.2,0.1,0.2,False
0.1,0.5910251531573292,preserved,-0.1,0.1,0.2,0.1,0.2,False
