degree,regime,d,mean_pair_max_error,min_pair_max_error,max_pair_max_error,mean_prediction_difference,bound_satisfaction_rate
1,observational_loss,0.1,0.10315107349926533,0.1021340288102011,0.10415786922216944,0.0,1.0
1,observational_loss,0.25,0.2531510734992653,0.2521340288102011,0.25415786922216943,0.0,1.0
1,observational_loss,0.5,0.5031510734992654,0.5021340288102011,0.5041578692221694,0.0,1.0
1,observational_loss,0.75,0.7531510734992652,0.7521340288102011,0.7541578692221694,0.0,1.0
1,observational_loss,1.0,1.0031510734992652,1.0021340288102012,1.0041578692221695,0.0,1.0
1,preserved,0.1,1.2531642390456454e-16,4.163336342344337e-17,2.0816681711721685e-16,0.2000000000000001,0.0
1,preserved,0.25,1.9395596240201486e-16,1.1102230246251565e-16,2.7755575615628914e-16,0.5000000000000002,0.0
1,preserved,0.5,2.9887203822909216e-16,2.220446049250313e-16,4.440892098500626e-16,1.0000000000000004,0.0
1,preserved,0.75,4.098943406916078e-16,3.3306690738754696e-16,5.551115123125783e-16,1.5000000000000007,0.0
1,preserved,1.0,5.186961971048731e-16,4.440892098500626e-16,6.661338147750939e-16,2.000000000000001,0.0
1,representational_loss,0.1,0.10315107349926533,0.1021340288102011,0.10415786922216944,0.0,1.0
1,representational_loss,0.25,0.2531510734992653,0.2521340288102011,0.25415786922216943,0.0,1.0
1,representational_loss,0.5,0.5031510734992654,0.5021340288102011,0.5041578692221694,0.0,1.0
1,representational_loss,0.75,0.7531510734992652,0.7521340288102011,0.7541578692221694,0.0,1.0
1,representational_loss,1.0,1.0031510734992652,1.0021340288102012,1.0041578692221695,0.0,1.0
2,observational_loss,0.1,0.11603625876184699,0.10023154428814186,0.13761528560054556,0.0,1.0
2,observational_loss,0.25,0.26603625876184694,0.25023154428814187,0.28761528560054556,0.0,1.0
2,observational_loss,0.5,0.516036258761847,0.5002315442881419,0.5376152856005456,0.0,1.0
2,observational_loss,0.75,0.766036258761847,0.7502315442881419,0.7876152856005456,0.0,1.0
2,observational_loss,1.0,1.016036258761847,1.0002315442881418,1.0376152856005456,0.0,1.0
2,preserved,0.1,1.491862189340054e-16,1.3877787807814457e-17,2.498001805406602e-16,0.19999999999999998,0.0
2,preserved,0.25,1.588729148238599e-16,2.7755575615628914e-17,2.7755575615628914e-16,0.49999999999999994,0.0
2,preserved,0.5,1.6919798895287386e-16,5.551115123125783e-17,3.3306690738754696e-16,0.9999999999999999,0.0
2,preserved,0.75,2.3980817331903383e-16,1.1102230246251565e-16,4.440892098500626e-16,1.4999999999999998,0.0
2,preserved,1.0,2.537969834293108e-16,1.1102230246251565e-16,4.440892098500626e-16,1.9999999999999998,0.0
2,representational_loss,0.1,0.11603625876184699,0.10023154428814186,0.13761528560054556,0.0,1.0
2,representational_loss,0.25,0.26603625876184694,0.25023154428814187,0.28761528560054556,0.0,1.0
2,representational_loss,0.5,0.516036258761847,0.5002315442881419,0.5376152856005456,0.0,1.0
2,representational_loss,0.75,0.766036258761847,0.7502315442881419,0.7876152856005456,0.0,1.0
2,representational_loss,1.0,1.016036258761847,1.0002315442881418,1.0376152856005456,0.0,1.0
3,observational_loss,0.1,0.11763761135767085,0.1000648026497863,0.17106166505982473,0.0,1.0
3,observational_loss,0.25,0.26763761135767083,0.2500648026497863,0.3210616650598247,0.0,1.0
3,observational_loss,0.5,0.5176376113576708,0.5000648026497863,0.5710616650598247,0.0,1.0
3,observational_loss,0.75,0.7676376113576708,0.7500648026497863,0.8210616650598247,0.0,1.0
3,observational_loss,1.0,1.0176376113576708,1.0000648026497863,1.0710616650598248,0.0,1.0
3,preserved,0.1,5.007660952571769e-16,1.249000902703301e-16,9.992007221626409e-16,0.20000000000000023,0.0
3,preserved,0.25,6.422640197456531e-16,2.7755575615628914e-16,1.0547118733938987e-15,0.5000000000000006,0.0
3,preserved,0.5,8.15347789284715e-16,4.440892098500626e-16,1.4432899320127035e-15,1.0000000000000009,0.0
