experiment,target,degree,n_terms,method,train_grid_size,eval_grid_size,train_rmse,train_mae,train_p95_error,train_p99_error,train_max_error,eval_rmse,eval_mae,eval_p95_error,eval_p99_error,eval_max_error,condition_number,linf_training_optimum
grid_robustness,periodic,1,3,L2,41,251,0.23587365299057456,0.18605858124338148,0.447154709554275,0.6331785223354287,0.7449159086299163,0.22487493676781278,0.17894231105597025,0.41174424539385635,0.59297497553488,0.7356901268657586,1.6903085094570327,
grid_robustness,periodic,1,3,Linf,41,251,0.2684202386556111,0.216574728365093,0.49497083902179706,0.5232598988138542,0.5283647312750853,0.26534087422187996,0.21326146412250094,0.49275034607530377,0.5213426808628506,0.5287586503331693,1.6903085094570327,0.5283647312750853
grid_robustness,periodic,2,6,L2,41,251,0.23587365299057456,0.18605858124338148,0.4471547095542792,0.6331785223354336,0.7449159086299224,0.22487493676781276,0.17894231105597025,0.41174424539385257,0.5929749755348755,0.7356901268657645,2.859430597277969,
grid_robustness,periodic,2,6,Linf,41,251,0.26847086169723694,0.21681178383062144,0.4949847867772654,0.52289388690344,0.5283647312750865,0.26539188404542524,0.21342830982610272,0.49284530826216955,0.5214096015428215,0.5290887649351699,2.859430597277969,0.5283647312750857
grid_robustness,periodic,3,10,L2,41,251,0.03198129562145022,0.024970770013983637,0.049539547180484034,0.10389179363884138,0.1803735931813849,0.029333354111284477,0.02374382361082916,0.04901441834901754,0.07755582475406803,0.17345687545212074,3.6072179272443354,
grid_robustness,periodic,3,10,Linf,41,251,0.04055872185817244,0.03442149230199748,0.06780884712627788,0.07068907748880424,0.07079563591392668,0.03965188876478088,0.03359671197421467,0.06638617881530794,0.07011938444902824,0.07104953287773094,3.6072179272443354,0.07079563591389139
grid_robustness,periodic,4,15,L2,41,251,0.03198129562145022,0.02497077001398363,0.049539547180484644,0.10389179363884114,0.18037359318138563,0.02933335411128449,0.023743823610829162,0.049014418349018096,0.07755582475406789,0.17345687545212146,4.55448967549307,
grid_robustness,periodic,4,15,Linf,41,251,0.04055982372533767,0.0344338469364467,0.06774799298259837,0.0706666035942216,0.07079563591378868,0.039653039948809574,0.0336003273972008,0.06639223408674133,0.07013761251192108,0.07109420425970342,4.55448967549307,0.07079563591378131
grid_robustness,periodic,5,21,L2,41,251,0.0019880117588534363,0.0015371235616517165,0.003305972378584543,0.004113942649751126,0.014400648539427503,0.0017836635486087628,0.0014606966240929612,0.003145980397723236,0.0037165506273065807,0.013327421532610333,5.2987495789197245,
grid_robustness,periodic,5,21,Linf,41,251,0.0025989013473595056,0.002224454401630407,0.004274723893555432,0.004450660573234644,0.004450660573354692,0.002581099650016164,0.0022115175745700127,0.004221168023500366,0.004426320377218629,0.004505266308896694,5.2987495789197245,0.004450660573240596
grid_robustness,periodic,6,28,L2,41,251,0.0019880117588534367,0.0015371235616517076,0.003305972378583988,0.004113942649752294,0.014400648539428672,0.0017836635486087203,0.0014606966240929304,0.0031459803977238465,0.0037165506273052484,0.013327421532611381,6.171132403949876,
grid_robustness,periodic,6,28,Linf,41,251,0.002599276055061597,0.002225128342686781,0.004279191120709569,0.004450660573239585,0.004450660573251832,0.002581444484415935,0.002212135342779631,0.004220913893824063,0.004427980991113634,0.004524559372115156,6.171132403949876,0.0044506605732398605
grid_robustness,periodic,7,36,L2,41,251,7.067065562364923e-05,5.421802912239871e-05,0.00011875381772935567,0.00019321685884087224,0.0005563673553383719,6.290060964771942e-05,5.1771315108005e-05,0.00010905839953656571,0.00014255421564957071,0.0004866713481300831,6.982034131205221,
grid_robustness,periodic,7,36,Linf,41,251,9.389393337902483e-05,8.111742914814874e-05,0.0001498498029593176,0.00015273952218106956,0.00015277253992601603,9.250326377547662e-05,7.982066748725026e-05,0.00014854373755812667,0.0001531104103495995,0.00015478950349695486,6.982034131205221,0.00015273952217358604
