experiment,target,degree,n_terms,method,train_grid_size,eval_grid_size,train_rmse,train_mae,train_p95_error,train_p99_error,train_max_error,eval_rmse,eval_mae,eval_p95_error,eval_p99_error,eval_max_error,condition_number,linf_training_optimum
primary,periodic,1,3,L2,31,201,0.23964392880927404,0.18910136759253673,0.4438320045336691,0.6373823268636853,0.7354411463811755,0.22534657053049825,0.17983926493800234,0.40387933184141445,0.5840910798746561,0.7239676462881459,1.6770509831248426,
primary,periodic,1,3,Linf,31,201,0.2695842409988858,0.2177405953122335,0.4948575167028842,0.5231547441681355,0.5283647312750857,0.26533931731940674,0.2132586233631683,0.49269912213537514,0.5212591584190043,0.5287360672369598,1.6770509831248426,0.5283647312750857
primary,periodic,2,6,L2,31,201,0.23964392880927404,0.18910136759253673,0.44383200453367755,0.6373823268636833,0.7354411463811877,0.22534657053049825,0.17983926493800234,0.4038793318414232,0.5840910798746661,0.723967646288158,2.8165355891089043,
primary,periodic,2,6,Linf,31,201,0.2698477044414665,0.21859455186717971,0.49602370080423175,0.5232727324725897,0.5283647312750858,0.26560553033508216,0.2139877927468374,0.49300886578046554,0.5216096243606394,0.5296686081681037,2.8165355891089043,0.5283647312750853
primary,periodic,3,10,L2,31,201,0.03298384010313961,0.02576272534268342,0.050541259119755266,0.12002918956981799,0.17283072637684505,0.029648762249239347,0.024193952418940703,0.050284486762509295,0.07325724771793785,0.16437503856387325,3.52874327028453,
primary,periodic,3,10,Linf,31,201,0.040931694536310424,0.034678906021665366,0.06830083035772005,0.07072308826742692,0.07072308826743436,0.03968664809273412,0.03362249938394686,0.06645404834650061,0.07023608899192202,0.07139558215180525,3.52874327028453,0.0707230882674277
primary,periodic,4,15,L2,31,201,0.0329838401031396,0.025762725342683476,0.0505412591197556,0.12002918956981752,0.17283072637684735,0.029648762249239343,0.02419395241894073,0.05028448676250841,0.07325724771793903,0.16437503856387545,4.428298804535025,
primary,periodic,4,15,Linf,31,201,0.04093174746410595,0.03468181619556669,0.06831548200717974,0.07072308826740892,0.0707230882676375,0.039686703462772484,0.03362310310159714,0.06645976021724671,0.07023191191054612,0.07142838970866126,4.428298804535025,0.07072308826740906
primary,periodic,5,21,L2,31,201,0.0020736786950444454,0.0016088720843424034,0.0035241240332967096,0.005800179602448852,0.013135305354688535,0.0018274499763610273,0.0015112668563251066,0.0032409557929379273,0.0037859349202107317,0.011860867718837232,5.144739949812352,
primary,periodic,5,21,Linf,31,201,0.0025912641756036794,0.0022115134554413275,0.004251309050215646,0.00445249344402735,0.004452493444347949,0.0025628320970290754,0.0022004947497519787,0.004210509487735714,0.004428878619447629,0.004515287531698331,5.144739949812352,0.004452493444025761
primary,periodic,6,28,L2,31,201,0.002073678695044448,0.0016088720843424247,0.0035241240333000468,0.005800179602448987,0.013135305354691972,0.0018274499763610349,0.0015112668563251317,0.00324095579293715,0.0037859349202107317,0.011860867718840503,5.988847135087288,
primary,periodic,6,28,Linf,31,201,0.002602799549044996,0.0022328079890411847,0.004284877577610424,0.0044524934440370425,0.004452493444057626,0.002574228122787819,0.0022172590589376573,0.004226937721270585,0.004440069766535937,0.0045454051205137125,5.988847135087288,0.004452493444036627
primary,periodic,7,36,L2,31,201,7.423385124317989e-05,5.7075118104310563e-05,0.00012735635305305415,0.00019522895751877822,0.0004732856416895803,6.534389797459567e-05,5.420602359212371e-05,0.00011461696406700472,0.0001444435736585037,0.00039384764794137515,6.8447319243474425,
primary,periodic,7,36,Linf,31,201,9.485009219449294e-05,8.212709490126327e-05,0.00015105800309589412,0.00015261231678160322,0.00015261231704135052,9.275830196918853e-05,8.019191735162689e-05,0.00014843038000741243,0.00015300321439324846,0.00015747170322077952,6.8447319243474425,0.00015261231677400554
primary,periodic,8,45,L2,31,201,7.423385124318237e-05,5.707511810437041e-05,0.00012735635305316517,0.00019522895751454826,0.00047328564169592,6.534389797447104e-05,5.4206023592096466e-05,0.00011461696406617206,0.00014444357365828164,0.00039384764794788384,7.803290381030962,
primary,periodic,8,45,Linf,31,201,9.536790674716379e-05,8.294211919011128e-05,0.00015160612873468815,0.0001526123167605834,0.00015261231678981302,9.33047851422085e-05,8.097719141392644e-05,0.00014885993695762378,0.00015328785370150033,0.00015791289294964095,7.803290381030962,0.00015261231675806357
primary,periodic,9,55,L2,31,201,1.707883138134172e-06,1.315783964437619e-06,3.01076169836878e-06,5.427286338411986e-06,9.599466723599764e-06,1.519100945064992e-06,1.2520211828195592e-06,2.8031067167422208e-06,3.4117920417187086e-06,6.974098498185172e-06,8.740126263391407,
primary,periodic,9,55,Linf,31,201,2.165791976272024e-06,1.9009700076043028e-06,3.362480306634552e-06,3.362480475255225e-06,3.446818590255978e-06,2.1242391263589096e-06,1.8540586876445477e-06,3.3159456732378967e-06,3.4185232427041967e-06,3.677471540064481e-06,8.740126263391407,3.3624803109068364e-06
