target,degree,primary_eval_max_error,robust_eval_max_error,absolute_difference,relative_difference
periodic,1,0.5287360672369598,0.5287586503331693,2.258309620950527e-05,4.2711472904655036e-05
periodic,2,0.5296686081681037,0.5290887649351699,0.0005798432329338077,0.0010947283338901968
periodic,3,0.07139558215180525,0.07104953287773094,0.00034604927407430597,0.004846928390310157
periodic,4,0.07142838970866126,0.07109420425970342,0.00033418544895784386,0.004678608188157449
periodic,5,0.004515287531698331,0.004505266308896694,1.0021222801637197e-05,0.0022193985945049934
periodic,6,0.0045454051205137125,0.004524559372115156,2.0845748398556907e-05,0.004586114514738999
periodic,7,0.00015747170322077952,0.00015478950349695486,2.682199723824663e-06,0.01703289968270774
periodic,8,0.00015791289294964095,0.0001549778131759716,2.935079773669358e-06,0.018586701306304146
periodic,9,3.677471540064481e-06,3.6050761204053927e-06,7.239541965908813e-08,0.019686194405686346
periodic,10,3.688276346558439e-06,3.620035039286762e-06,6.824130727167699e-08,0.018502221867228986
periodic,11,1.15093284153156e-07,1.386405149572667e-07,2.3547230804110697e-08,0.20459257008233528
periodic,12,1.2391656090127157e-07,1.2231831758580114e-07,1.5982433154704268e-09,0.012897737831376713
periodic,13,1.3981126806630884e-08,5.992771204277325e-08,4.594658523614237e-08,3.286329197325576
periodic,14,8.3591572188485e-09,3.043222418508407e-08,2.2073066966235566e-08,2.6405852155124556
periodic,15,1.3053355138112344e-08,8.256332062472893e-09,4.7970230756394505e-09,0.36749349304328754
periodic,16,3.6604181161831173e-09,4.879108774988317e-09,1.2186906588051993e-09,0.33293755525283625
interaction,1,0.9999999846943931,1.0000221500832052,2.216538881205654e-05,2.2165389151311275e-05
interaction,2,0.9707284615841925,0.9657188147258089,0.005009646858383565,0.005160708742595235
interaction,3,0.8081588385028237,0.8083650512254366,0.00020621272261289736,0.00025516360496028514
interaction,4,0.7415536675701502,0.7421879970299631,0.000634329459812899,0.0008554060043845608
interaction,5,0.44970120439936223,0.4495918413699643,0.0001093630293979575,0.00024319043028587584
interaction,6,0.20250730076749957,0.20055843365685905,0.0019488671106405175,0.009623688149781963
interaction,7,0.1604319650331908,0.1573084452150464,0.0031235198181444046,0.0194694356420692
interaction,8,0.06996210588575746,0.06995327994062334,8.82594513412771e-06,0.00012615322283951507
interaction,9,0.021766064028024862,0.020586350786596534,0.0011797132414283276,0.05419965869389108
interaction,10,0.015517883287044714,0.014300525011916754,0.0012173582751279603,0.07844873251136553
interaction,11,0.006211513443118488,0.005862538943385398,0.00034897449973309014,0.05618187949342787
interaction,12,0.001659876112266867,0.0014489403883047036,0.00021093572396216342,0.12707919729870187
interaction,13,0.0009291208714186233,0.0007406025730022424,0.00018851829841638095,0.20289964870613958
interaction,14,0.00034744072742376453,0.00031536653134267567,3.207419608108886e-05,0.09231559097551849
interaction,15,9.078814531102153e-05,7.381598034308934e-05,1.697216496793219e-05,0.1869425232753576
interaction,16,3.936836061567623e-05,2.9881012149339525e-05,9.487348466336704e-06,0.24098916789943503
transition,1,0.605157955495406,0.60486777850348,0.00029017699192601665,0.0004795062004736704
transition,2,0.6051579554954043,0.6048677785034826,0.0002901769919216868,0.0004795062004665168
transition,3,0.3698668607572655,0.3697090069930447,0.00015785376422078334,0.0004267853678418053
transition,4,0.369866860757206,0.36970900699305353,0.00015785376415244912,0.0004267853676571204
transition,5,0.23976114430488576,0.2400100644425725,0.0002489201376867367,0.0010382004907776223
transition,6,0.2397611443050332,0.24001006444584155,0.0002489201408083508,0.0010382005037966667
transition,7,0.16157823169091223,0.16192911014948108,0.00035087845856884847,0.00217157011125146
transition,8,0.1615782316881793,0.16192911014981726,0.000350878461637949,0.002171570130282707
transition,9,0.10936204383024695,0.10770247550825018,0.0016595683219967627,0.015174993662085945
transition,10,0.10936204327320143,0.10770247548916123,0.0016595677840401946,0.015174988820338388
transition,11,0.07425879705147764,0.07930380379622826,0.005045006744750613,0.06793816955118888
transition,12,0.07486188736596466,0.07930380379166835,0.004441916425703685,0.059334817515209554
transition,13,0.050361548030089964,0.0494263566725508,0.0009351913575391668,0.018569551455813266
transition,14,0.06423205483792771,0.0495585819038461,0.01467347293408161,0.2284447067917439
transition,15,0.044722549516485355,0.03363957864318223,0.011082970873303122,0.24781616864704425
transition,16,0.04752405755357092,0.03371744953715883,0.013806608016412092,0.29051829172727434
