regime,degree,n_features,train_rmse,train_mae,train_max_error,test_rmse,test_mae,test_max_error,test_bias,condition_number
preserved,1,3,3.9939230130868104e-16,3.419237332505376e-16,7.771561172376096e-16,3.9916601687135035e-16,3.412145105309225e-16,7.771561172376096e-16,-2.752309556479371e-18,1.737878884458883
preserved,2,6,5.851148796384044e-16,4.452416083391974e-16,1.6653345369377348e-15,5.902374575253152e-16,4.478418341464369e-16,1.7763568394002505e-15,-3.0693384032304262e-18,2.9780616384147205
preserved,3,10,3.7199129289457666e-16,2.949382708547499e-16,9.992007221626409e-16,3.731199742189317e-16,2.9571755200824556e-16,9.992007221626409e-16,-2.838940020566394e-17,3.889650301101906
preserved,4,15,2.9948366004679473e-15,2.985656990736607e-15,3.774758283725532e-15,2.9940081449316364e-15,2.9850735544425384e-15,3.885780586188048e-15,-2.9850735544425384e-15,4.991680469932913
preserved,5,21,2.133852209963726e-15,1.946624415480325e-15,3.774758283725532e-15,2.17095374607186e-15,1.9865204045534796e-15,3.774758283725532e-15,-1.9859430885806747e-15,6.0084187679363925
preserved,6,28,6.622720454304165e-15,6.555988282634651e-15,8.215650382226158e-15,6.617219932741189e-15,6.5524152699806754e-15,8.215650382226158e-15,-6.5524152699806754e-15,7.1708972849857275
preserved,7,36,4.799255608781029e-15,4.770747642421358e-15,6.439293542825908e-15,4.8006019679964664e-15,4.772360943385533e-15,6.439293542825908e-15,-4.772360943385533e-15,8.3249096029513
preserved,8,45,4.078125809127715e-15,3.924087227033524e-15,6.217248937900877e-15,4.072343996157408e-15,3.920103518596611e-15,6.217248937900877e-15,-3.920103518596611e-15,9.385977436135208
preserved,9,55,1.718024316814994e-15,1.5978774510136406e-15,3.219646771412954e-15,1.697095954975872e-15,1.569966406227488e-15,3.219646771412954e-15,-1.5665833485046381e-15,10.445662351234972
preserved,10,66,6.005203074855138e-15,5.840954087586725e-15,9.547918011776346e-15,6.015691615798802e-15,5.856347760793516e-15,9.658940314238862e-15,-5.856347760793516e-15,11.639184021484246
preserved,11,78,2.913634096009456e-15,2.8286924668927126e-15,5.329070518200751e-15,2.9196063272999867e-15,2.834939815993427e-15,5.440092820663267e-15,-2.834406908941607e-15,12.928060985201727
preserved,12,91,4.296561177646731e-15,4.2185889330415005e-15,7.993605777301127e-15,4.316450278027658e-15,4.234661010521154e-15,1.0880185641326534e-14,-4.234594397139676e-15,14.478007076223358
preserved,13,105,2.1755903024529163e-15,2.0461102213584216e-15,5.88418203051333e-15,2.172729695102319e-15,2.03341788394297e-15,8.548717289613705e-15,-2.0286661293975743e-15,16.828816765072837
preserved,14,120,2.1048207950500943e-15,1.9445328160172527e-15,4.551914400963142e-15,2.12332869496123e-15,1.9611853428139898e-15,4.440892098500626e-15,-1.960896684827587e-15,19.628121960835824
preserved,15,136,6.3293229115578e-15,6.2481068712968994e-15,1.1102230246251565e-14,6.332115956029344e-15,6.246279987925755e-15,1.176836406102666e-14,-6.246213374544278e-15,22.880892147737196
