sample_size,measure,perturbation,lambda,mean_median_rho,sd_median_rho,mean_exceedance_rate,sd_exceedance_rate,mean_median_discrepancy
100,JS,contamination,0.0,0.6957371896086604,0.010925636242365939,0.05,0.011155467020454344,0.08616550890147744
100,JS,contamination,0.05,0.8106928649110214,0.010524820408819944,0.1482,0.021958546804781435,0.10039532290790176
100,JS,contamination,0.1,0.9319521423682744,0.014859060189976223,0.3491,0.037191546231786464,0.11541420938609277
100,JS,contamination,0.2,1.2009488102863095,0.014841584011773311,0.8413999999999999,0.01920763736989363,0.14872668322846375
100,JS,contamination,0.3,1.5156404774042553,0.027721443158714075,0.9911,0.005216427044549876,0.18767519986092665
100,JS,contamination,0.4,1.8452271647410723,0.016846873367563974,1.0,0.0,0.22850069357630898
100,JS,contamination,0.5,2.2387611184249856,0.03354535904274617,1.0,0.0,0.27721429854652335
100,JS,contamination,0.6,2.673021953962638,0.0323710703199006,1.0,0.0,0.3309947306258544
100,JS,contamination,0.8,3.754332297928285,0.05734243450667837,1.0,0.0,0.4648740451402479
100,JS,contamination,1.0,5.297767395023117,0.08402740269675556,1.0,0.0,0.6559751552992787
100,JS,location,0.0,0.7012945050885401,0.015023722713381822,0.05589999999999999,0.016072405614039928,0.08684773204220823
100,JS,location,0.05,0.6978692141420979,0.008403646911917084,0.0507,0.012275087689209305,0.08642763726006224
100,JS,location,0.1,0.7125713959238185,0.01399560611937733,0.054400000000000004,0.01142317332832208,0.08824126343098898
100,JS,location,0.2,0.73111179957908,0.010987219524263918,0.0758,0.011754904413808635,0.0905356747015138
100,JS,location,0.3,0.7785672081968332,0.018706332314036702,0.1255,0.024545875417267167,0.09640948685999577
100,JS,location,0.4,0.8450614917619561,0.016885473242959467,0.2132,0.02827169766549029,0.10464009854024714
100,JS,location,0.5,0.9175784923977561,0.015035703377966366,0.3524,0.027207842006794044,0.11362276578243931
100,JS,location,0.6,1.011198084689932,0.022030517274032425,0.5182,0.04340455685242685,0.12520641048801426
100,JS,location,0.8,1.2482477013013522,0.02266034764595911,0.8640000000000001,0.02219108930279098,0.15456782642387842
100,JS,location,1.0,1.519108986728697,0.025500657883501223,0.9847999999999999,0.004638007234913621,0.18810484641505326
100,JS,scale,0.0,0.6960495819023468,0.012395771330744066,0.0491,0.010181137242742362,0.08620224731974951
100,JS,scale,0.05,0.7126233709445763,0.011708558262476595,0.054700000000000006,0.01179500836041341,0.0882568593271582
100,JS,scale,0.1,0.7440315721563288,0.015403334116742346,0.0799,0.008033955715862793,0.09212481259452227
100,JS,scale,0.2,0.8083907616585009,0.01425771689156138,0.1492,0.017028081382103974,0.10010870084699466
100,JS,scale,0.3,0.8769163993472887,0.016976561836330294,0.2721,0.033254740681258936,0.1085827407261678
100,JS,scale,0.4,0.9704359370989402,0.015763683269605838,0.4391,0.03593342609759209,0.12017011936384432
100,JS,scale,0.5,1.0593705050240672,0.016794590801098946,0.6127,0.03381009053850972,0.1311917300801822
100,JS,scale,0.6,1.1477800646643366,0.022707131199568707,0.7581,0.026231660260075052,0.14211468870091998
100,JS,scale,0.8,1.3299007583733797,0.01111804752457561,0.9372999999999999,0.014922391824964805,0.16469394665664713
100,JS,scale,1.0,1.5198303192197453,0.02367918100089167,0.9884000000000001,0.00883427667918798,0.18820187443057762
100,MMD2,contamination,0.0,0.26650599139823694,0.011396997741238259,0.0485,0.009947082207584515,0.006497530448604049
100,MMD2,contamination,0.05,0.41041076082331057,0.0205213673006706,0.0848,0.011321562514855348,0.010007478559506821
100,MMD2,contamination,0.1,0.7819603482914728,0.027281502652317775,0.3489,0.016100034506519267,0.01907016084929612
100,MMD2,contamination,0.2,2.2896969347805984,0.10082690872291478,0.9487,0.009661492868312024,0.05579814542854461
100,MMD2,contamination,0.3,4.714088525113939,0.18108466802038622,0.9996,0.0008432740427115734,0.1149065376977338
100,MMD2,contamination,0.4,8.175312374388906,0.28005664889750204,1.0,0.0,0.19927996613082977
100,MMD2,contamination,0.5,12.602450035643121,0.38153079588906624,1.0,0.0,0.307214237831028
100,MMD2,contamination,0.6,18.046521245648034,0.6488045324973635,1.0,0.0,0.43985478780446624
100,MMD2,contamination,0.8,31.875216899308974,1.111325469666208,1.0,0.0,0.7768994719603082
100,MMD2,contamination,1.0,49.588520143400004,1.667369825928514,1.0,0.0,1.2086662752197967
100,MMD2,location,0.0,0.26142011552749367,0.014488794439367883,0.0479,0.009711962840858806,0.006370205162723852
100,MMD2,location,0.05,0.2706100289750642,0.01848985672798028,0.0615,0.01464581851587681,0.006592412865126418
100,MMD2,location,0.1,0.3168614015033805,0.010227124657296676,0.0908,0.016416793569729478,0.007727408927167334
100,MMD2,location,0.2,0.5069453975575818,0.043549831230765015,0.2299,0.027032696252254726,0.012346364009435529
100,MMD2,location,0.3,0.8797980316552435,0.04251227810290324,0.44089999999999996,0.02338304228851899,0.021445820602574283
100,MMD2,location,0.4,1.4320461483608693,0.06970154133659713,0.6826,0.03223593577912008,0.03489337164000454
100,MMD2,location,0.5,2.08798458022705,0.08409643298074056,0.8629,0.013486206945534308,0.050904649121881716
100,MMD2,location,0.6,2.96221273099877,0.1436209518354086,0.9625,0.00753141568513001,0.0722069572845346
100,MMD2,location,0.8,4.96859690078842,0.19564884653774445,0.9987999999999999,0.0013984117975602002,0.12111129094244488
100,MMD2,location,1.0,7.484068293247307,0.2779663279443802,1.0,0.0,0.18241048008350758
