seed,sample_size,measure,perturbation,spearman_rho,spearman_p
20260829,100,JS,contamination,0.9999999999999999,6.64689742203186e-64
20260829,100,JS,location,0.9878787878787878,9.307459988955516e-08
20260829,100,JS,scale,0.9999999999999999,6.64689742203186e-64
20260829,100,MMD2,contamination,0.9999999999999999,6.64689742203186e-64
20260829,100,MMD2,location,0.9878787878787878,9.307459988955516e-08
20260829,100,MMD2,scale,0.9999999999999999,6.64689742203186e-64
20260829,100,TV,contamination,0.9999999999999999,6.64689742203186e-64
20260829,100,TV,location,0.9878044218151566,9.537128224077506e-08
20260829,100,TV,scale,0.996965091635306,3.698093220209441e-10
20260829,100,W1,contamination,0.9999999999999999,6.64689742203186e-64
20260829,100,W1,location,0.9999999999999999,6.64689742203186e-64
20260829,100,W1,scale,0.9999999999999999,6.64689742203186e-64
20260830,100,JS,contamination,0.9999999999999999,6.64689742203186e-64
20260830,100,JS,location,0.9636363636363635,7.3209748095299185e-06
20260830,100,JS,scale,0.9999999999999999,6.64689742203186e-64
20260830,100,MMD2,contamination,0.9999999999999999,6.64689742203186e-64
20260830,100,MMD2,location,0.9999999999999999,6.64689742203186e-64
20260830,100,MMD2,scale,0.9999999999999999,6.64689742203186e-64
20260830,100,TV,contamination,0.9999999999999999,6.64689742203186e-64
20260830,100,TV,location,0.996965091635306,3.698093220209441e-10
20260830,100,TV,scale,0.9999999999999999,6.64689742203186e-64
20260830,100,W1,contamination,0.9999999999999999,6.64689742203186e-64
20260830,100,W1,location,0.9999999999999999,6.64689742203186e-64
20260830,100,W1,scale,0.9999999999999999,6.64689742203186e-64
20260831,100,JS,contamination,0.9999999999999999,6.64689742203186e-64
20260831,100,JS,location,0.9636363636363635,7.3209748095299185e-06
20260831,100,JS,scale,0.9999999999999999,6.64689742203186e-64
20260831,100,MMD2,contamination,0.9999999999999999,6.64689742203186e-64
20260831,100,MMD2,location,0.9999999999999999,6.64689742203186e-64
20260831,100,MMD2,scale,0.9878787878787878,9.307459988955516e-08
20260831,100,TV,contamination,0.9999999999999999,6.64689742203186e-64
20260831,100,TV,location,0.9878044218151566,9.537128224077506e-08
20260831,100,TV,scale,0.996965091635306,3.698093220209441e-10
20260831,100,W1,contamination,0.9999999999999999,6.64689742203186e-64
20260831,100,W1,location,0.9999999999999999,6.64689742203186e-64
20260831,100,W1,scale,0.9999999999999999,6.64689742203186e-64
20260832,100,JS,contamination,0.9999999999999999,6.64689742203186e-64
20260832,100,JS,location,0.9878787878787878,9.307459988955516e-08
20260832,100,JS,scale,0.9999999999999999,6.64689742203186e-64
20260832,100,MMD2,contamination,0.9999999999999999,6.64689742203186e-64
20260832,100,MMD2,location,0.9878787878787878,9.307459988955516e-08
20260832,100,MMD2,scale,0.9999999999999999,6.64689742203186e-64
20260832,100,TV,contamination,0.9999999999999999,6.64689742203186e-64
20260832,100,TV,location,0.9878044218151566,9.537128224077506e-08
20260832,100,TV,scale,0.996965091635306,3.698093220209441e-10
20260832,100,W1,contamination,0.9999999999999999,6.64689742203186e-64
20260832,100,W1,location,0.9999999999999999,6.64689742203186e-64
20260832,100,W1,scale,0.9999999999999999,6.64689742203186e-64
20260833,100,JS,contamination,0.9999999999999999,6.64689742203186e-64
20260833,100,JS,location,0.9999999999999999,6.64689742203186e-64
20260833,100,JS,scale,0.9999999999999999,6.64689742203186e-64
20260833,100,MMD2,contamination,0.9999999999999999,6.64689742203186e-64
20260833,100,MMD2,location,0.9999999999999999,6.64689742203186e-64
20260833,100,MMD2,scale,0.9999999999999999,6.64689742203186e-64
20260833,100,TV,contamination,0.9999999999999999,6.64689742203186e-64
20260833,100,TV,location,0.9787279253249042,8.73148286763855e-07
20260833,100,TV,scale,0.996965091635306,3.698093220209441e-10
20260833,100,W1,contamination,0.9999999999999999,6.64689742203186e-64
20260833,100,W1,location,0.9999999999999999,6.64689742203186e-64
20260833,100,W1,scale,0.9999999999999999,6.64689742203186e-64
20260834,100,JS,contamination,0.9999999999999999,6.64689742203186e-64
20260834,100,JS,location,0.9999999999999999,6.64689742203186e-64
20260834,100,JS,scale,0.9999999999999999,6.64689742203186e-64
20260834,100,MMD2,contamination,0.9999999999999999,6.64689742203186e-64
20260834,100,MMD2,location,0.9999999999999999,6.64689742203186e-64
20260834,100,MMD2,scale,0.9999999999999999,6.64689742203186e-64
20260834,100,TV,contamination,0.9999999999999999,6.64689742203186e-64
20260834,100,TV,location,0.9787279253249042,8.73148286763855e-07
20260834,100,TV,scale,0.996965091635306,3.698093220209441e-10
20260834,100,W1,contamination,0.9999999999999999,6.64689742203186e-64
20260834,100,W1,location,0.9999999999999999,6.64689742203186e-64
20260834,100,W1,scale,0.9999999999999999,6.64689742203186e-64
20260835,100,JS,contamination,0.9999999999999999,6.64689742203186e-64
20260835,100,JS,location,0.9878787878787878,9.307459988955516e-08
20260835,100,JS,scale,0.9999999999999999,6.64689742203186e-64
20260835,100,MMD2,contamination,0.9999999999999999,6.64689742203186e-64
20260835,100,MMD2,location,0.9999999999999999,6.64689742203186e-64
20260835,100,MMD2,scale,0.9999999999999999,6.64689742203186e-64
20260835,100,TV,contamination,0.9999999999999999,6.64689742203186e-64
20260835,100,TV,location,0.9878787878787878,9.307459988955516e-08
20260835,100,TV,scale,0.996965091635306,3.698093220209441e-10
20260835,100,W1,contamination,0.9999999999999999,6.64689742203186e-64
20260835,100,W1,location,0.9999999999999999,6.64689742203186e-64
20260835,100,W1,scale,0.9878787878787878,9.307459988955516e-08
20260836,100,JS,contamination,0.9999999999999999,6.64689742203186e-64
20260836,100,JS,location,0.9636363636363635,7.3209748095299185e-06
20260836,100,JS,scale,0.9999999999999999,6.64689742203186e-64
20260836,100,MMD2,contamination,0.9999999999999999,6.64689742203186e-64
20260836,100,MMD2,location,0.9999999999999999,6.64689742203186e-64
20260836,100,MMD2,scale,0.9999999999999999,6.64689742203186e-64
20260836,100,TV,contamination,0.9999999999999999,6.64689742203186e-64
20260836,100,TV,location,0.9787279253249042,8.73148286763855e-07
20260836,100,TV,scale,0.996965091635306,3.698093220209441e-10
20260836,100,W1,contamination,0.9999999999999999,6.64689742203186e-64
20260836,100,W1,location,0.9999999999999999,6.64689742203186e-64
20260836,100,W1,scale,0.9999999999999999,6.64689742203186e-64
20260837,100,JS,contamination,0.9999999999999999,6.64689742203186e-64
20260837,100,JS,location,0.9999999999999999,6.64689742203186e-64
20260837,100,JS,scale,0.9999999999999999,6.64689742203186e-64
20260837,100,MMD2,contamination,0.9999999999999999,6.64689742203186e-64
20260837,100,MMD2,location,0.9878787878787878,9.307459988955516e-08
20260837,100,MMD2,scale,0.9999999999999999,6.64689742203186e-64
20260837,100,TV,contamination,0.9999999999999999,6.64689742203186e-64
20260837,100,TV,location,0.996965091635306,3.698093220209441e-10
20260837,100,TV,scale,0.9999999999999999,6.64689742203186e-64
20260837,100,W1,contamination,0.9999999999999999,6.64689742203186e-64
20260837,100,W1,location,0.9999999999999999,6.64689742203186e-64
20260837,100,W1,scale,0.9999999999999999,6.64689742203186e-64
20260838,100,JS,contamination,0.9999999999999999,6.64689742203186e-64
20260838,100,JS,location,0.9878787878787878,9.307459988955516e-08
20260838,100,JS,scale,0.9999999999999999,6.64689742203186e-64
20260838,100,MMD2,contamination,0.9999999999999999,6.64689742203186e-64
20260838,100,MMD2,location,0.9999999999999999,6.64689742203186e-64
20260838,100,MMD2,scale,0.9999999999999999,6.64689742203186e-64
20260838,100,TV,contamination,0.9999999999999999,6.64689742203186e-64
20260838,100,TV,location,0.996965091635306,3.698093220209441e-10
20260838,100,TV,scale,0.996965091635306,3.698093220209441e-10
20260838,100,W1,contamination,0.9999999999999999,6.64689742203186e-64
20260838,100,W1,location,0.9878787878787878,9.307459988955516e-08
20260838,100,W1,scale,0.9999999999999999,6.64689742203186e-64
