provider,scenario_id,perturbation_family,lambda,sample_size,reference_n,median_rho,mean_rho,sd_rho,median_mmd2,exceedance_rate,relative_deviation_vs_reference,exceedance_agreement_vs_reference,theta,rho_reconstruction_relative_error
openai,CP01,semantic,0.25,3,30,0.6067564918619068,0.6431185688922777,0.2183158750885794,0.23996694098987,0.073,0.3692745929680004,0.554,0.3954913448943941,0.0
openai,CP01,semantic,0.25,5,30,0.6137617508622807,0.6593576810689166,0.2270682324378617,0.1494471272076382,0.08,0.3619926027567099,0.539,0.2434937123365512,1.8088827188487908e-16
openai,CP01,semantic,0.25,7,30,0.6299443018615907,0.6824060863514849,0.2407816432949682,0.109725632757017,0.106,0.345170786751849,0.557,0.1741830705234724,3.5248291677351854e-16
openai,CP01,semantic,0.25,10,30,0.676093291058856,0.7210400280781528,0.2503049574805673,0.0821320269898123,0.14,0.2971987577979583,0.561,0.121480316512507,4.926345399255744e-16
openai,CP01,semantic,0.25,15,30,0.7374839803753999,0.7845329061133307,0.2677061999295827,0.0585829947201343,0.18,0.2333829304825669,0.537,0.079436294589496,9.032519112293304e-16
openai,CP01,semantic,0.25,20,30,0.8173009221862453,0.8523419701906428,0.2688424867849786,0.0482706267771175,0.239,0.1504129519377761,0.55,0.0590610208147027,9.508812435433817e-16
openai,CP01,semantic,0.25,25,30,0.8584130241794257,0.8860302192009915,0.2489589606999103,0.0415577039658295,0.285,0.1076767841152959,0.526,0.0484122477120561,1.4226780031152082e-15
openai,CP01,semantic,0.25,30,30,0.961997860078472,0.977813718012148,0.2273212215797595,0.0379406360575308,0.427,0.0,1.0,0.0394394183521738,3.4622416661132494e-16
openai,CP01,semantic,0.5,3,30,0.9386966442701898,0.9705788392603688,0.2461858329497357,0.371246398290272,0.397,0.7148849796612261,0.397,0.3954913448943941,0.0
openai,CP01,semantic,0.5,5,30,1.0761659795838867,1.101677078969467,0.2672555289094804,0.2620396494591818,0.61,0.6731307318185751,0.61,0.2434937123365512,2.0632932943195964e-16
openai,CP01,semantic,0.5,7,30,1.242321844107375,1.266212288709342,0.2865330354303692,0.2163914333850052,0.817,0.6226633811763956,0.817,0.1741830705234724,1.7873355924492608e-16
openai,CP01,semantic,0.5,10,30,1.5211306107223996,1.5486904822529295,0.3261356858713527,0.1847874280474202,0.971,0.5379794019065277,0.971,0.121480316512507,1.4597339857593174e-16
openai,CP01,semantic,0.5,15,30,1.97672392913036,2.01397450436802,0.3671878657669388,0.1570236243565054,1.0,0.3995997677222744,1.0,0.079436294589496,7.863071881560231e-16
openai,CP01,semantic,0.5,20,30,2.401930171140584,2.442060443014219,0.3754355386357098,0.1418604478331965,1.0,0.2704497520287875,1.0,0.0590610208147027,3.697769528738479e-16
openai,CP01,semantic,0.5,25,30,2.79730880164077,2.8212478957737197,0.3536628033580985,0.1354240066321478,1.0,0.1503594257613272,1.0,0.0484122477120561,3.175117524311801e-16
openai,CP01,semantic,0.5,30,30,3.2923437115127427,3.306352466790497,0.336238714080192,0.1298481209974997,1.0,0.0,1.0,0.0394394183521738,2.6977086766315516e-16
openai,CP01,semantic,0.75,3,30,1.4099610090353825,1.42448956886065,0.2659883647962737,0.5576273757120604,0.958,0.8204060694794527,0.958,0.3954913448943941,1.5748279810726255e-16
openai,CP01,semantic,0.75,5,30,1.8218434145005835,1.8523883548879208,0.3366033585324421,0.4436074162926454,0.999,0.7679425051427619,0.999,0.2434937123365512,2.4375816621528886e-16
openai,CP01,semantic,0.75,7,30,2.287118419800526,2.30542987216988,0.358304311295617,0.3983773090116478,1.0,0.7086780528357064,1.0,0.1741830705234724,1.9416974915045915e-16
