perturbation_family,previous_n,current_n,transition,median_relative_change_mmd2,median_relative_change_theta,median_relative_change_rho,median_abs_change_exceedance,proportion_theta_decreased,proportion_rho_increased
context_removal,3,5,3->5,0.14904347911686777,0.6508698104482006,0.2976487471831786,0.0,1.0,1.0
context_removal,5,7,5->7,0.06938988840341229,0.3987922403880014,0.23272695612025535,0.0,1.0,0.9958333333333333
context_removal,7,10,7->10,0.05408599202556247,0.4341178418973489,0.25534023546908324,0.0,1.0,1.0
context_removal,10,15,10->15,0.04367235692880778,0.494180143872476,0.2956574219813363,0.0,1.0,1.0
context_removal,15,20,15->20,0.022427972986611103,0.34231884262373885,0.2371974356446791,0.0,1.0,1.0
context_removal,20,25,20->25,0.013499996185695834,0.2492312189213754,0.18653569172222187,0.0,1.0,0.9958333333333333
context_removal,25,30,25->30,0.009099801724187055,0.20288601305610682,0.15816835418181202,0.0,1.0,1.0
semantic,3,5,3->5,0.19681091708822787,0.6508698104482006,0.2707218655749568,0.006000000000000005,1.0,0.9833333333333333
semantic,5,7,5->7,0.09027760278121474,0.3987922403880014,0.21751384000724794,0.0,1.0,0.9875
semantic,7,10,7->10,0.07078185823969968,0.4341178418973489,0.2429147579080353,0.0,1.0,0.9958333333333333
semantic,10,15,10->15,0.057549316322777794,0.494180143872476,0.2817469410556324,0.0,1.0,0.9958333333333333
semantic,15,20,15->20,0.0301048285286688,0.34231884262373885,0.22875944193583764,0.0,1.0,0.9916666666666667
semantic,20,25,20->25,0.019144778868155993,0.2492312189213754,0.17913543514090544,0.0,1.0,0.9958333333333333
semantic,25,30,25->30,0.01253876284472968,0.20288601305610682,0.15403833751093676,0.0,1.0,1.0
surface,3,5,3->5,0.14450228228749745,0.6508698104482006,0.29943320773428383,0.0,1.0,1.0
surface,5,7,5->7,0.0674326656216952,0.3987922403880014,0.2375722141912282,0.0,1.0,1.0
surface,7,10,7->10,0.052769015429257105,0.4341178418973489,0.25827270633792443,0.0,1.0,1.0
surface,10,15,10->15,0.04264599342645062,0.494180143872476,0.2948047321849908,0.0,1.0,1.0
surface,15,20,15->20,0.0215988440951614,0.34231884262373885,0.2356874206518296,0.0,1.0,1.0
surface,20,25,20->25,0.012902562443897824,0.2492312189213754,0.18730134596809045,0.0,1.0,1.0
surface,25,30,25->30,0.008847659736102327,0.20288601305610682,0.1588625272997034,0.0,1.0,1.0
