provider,previous_n,current_n,transition,median_relative_change_mmd2,median_relative_change_theta,median_relative_change_rho,median_abs_change_exceedance,proportion_theta_decreased,proportion_rho_increased
gemini,3,5,3->5,0.18796849380261937,0.665743465850229,0.2884445805012127,0.0,1.0,1.0
gemini,5,7,5->7,0.08186465960356665,0.391455422997666,0.21851964359303855,0.0,1.0,0.9916666666666667
gemini,7,10,7->10,0.06747275457503091,0.432135963269105,0.25367368427657017,0.0,1.0,1.0
gemini,10,15,10->15,0.055088114256819344,0.47862663508433295,0.28132292711363927,0.0,1.0,1.0
gemini,15,20,15->20,0.02780933657781721,0.3571405234460363,0.23699967265129152,0.0,1.0,1.0
gemini,20,25,20->25,0.016782583327435954,0.25903993472617687,0.19051531439742947,0.0,1.0,0.9958333333333333
gemini,25,30,25->30,0.011306117737738947,0.191917028436921,0.14917420226070305,0.0,1.0,1.0
openai,3,5,3->5,0.18700024032123153,0.6351180084216543,0.2762471576085658,0.0,1.0,0.9833333333333333
openai,5,7,5->7,0.08404849140450024,0.41824064374482783,0.23227734350950144,0.0,1.0,0.9958333333333333
openai,7,10,7->10,0.06989368243477813,0.4309338813504543,0.24320687005788189,0.0,1.0,0.9958333333333333
openai,10,15,10->15,0.055299699861134324,0.49452594536875377,0.2894778424360522,0.0,1.0,1.0
openai,15,20,15->20,0.029268263414434524,0.33731102190257056,0.2283001164871571,0.0,1.0,0.9958333333333333
openai,20,25,20->25,0.01798807173196141,0.24375495296353636,0.17762986679891046,0.0,1.0,1.0
openai,25,30,25->30,0.011406901365074676,0.20372662541551675,0.1557702377311862,0.0,1.0,1.0
qwen,3,5,3->5,0.11983833363113255,0.6404563957142144,0.31126927661641624,0.0,1.0,1.0
qwen,5,7,5->7,0.05170809162525379,0.38688279610959114,0.23813463502247473,0.0,1.0,0.9958333333333333
qwen,7,10,7->10,0.042102035621913905,0.4491778309214922,0.2658802836799724,0.0,1.0,1.0
qwen,10,15,10->15,0.031644432942685694,0.49901718302629117,0.31099350664807496,0.0,1.0,0.9958333333333333
qwen,15,20,15->20,0.015881731812541343,0.34249029260749153,0.24260753162822085,0.0,1.0,0.9958333333333333
qwen,20,25,20->25,0.010370428126723681,0.24809138101069528,0.18892133271415096,0.0,1.0,0.9958333333333333
qwen,25,30,25->30,0.006766823430503596,0.20629404032844514,0.16578440241891368,0.0,1.0,1.0
