embedding_row,job_id,provider,scenario_id,task_family,condition,perturbation_family,lambda,repetition,prompt_sha256,output_word_count,model_requested,model_returned,timestamp_utc,response_sha256,embedded_at_utc,embedding_model
0,52f4332f9fba13cae1bb6cb9,gemini,CR01,contextual_reasoning,nominal,,0.0,0,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,62,gemini-2.5-flash,gemini-2.5-flash,2026-08-29T14:41:01.328209+00:00,f3f14c5fca8c8491bd9d6fa713fabc8ebdf1ba0f25749ff633078d3d20482786,2026-08-29T18:47:09.043411+00:00,BAAI/bge-small-en-v1.5
1,b6ad9b192c5d714601d1a94a,gemini,CR01,contextual_reasoning,nominal,,0.0,1,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,73,gemini-2.5-flash,gemini-2.5-flash,2026-08-29T14:44:22.389033+00:00,39c3bc20866c12d4bc2e98108b16a4985c0c3e30c665ae8b731e6f880f8784c6,2026-08-29T18:47:09.043411+00:00,BAAI/bge-small-en-v1.5
2,e146bd61d88b076d308c1d05,gemini,CR01,contextual_reasoning,nominal,,0.0,2,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,76,gemini-2.5-flash,gemini-2.5-flash,2026-08-29T14:44:23.458060+00:00,4dc255dc2856b6922f041ebfc8c4c11f84981f88c2d011247e368ee6f84a45cb,2026-08-29T18:47:09.043411+00:00,BAAI/bge-small-en-v1.5
3,01b082da01a0b82d4a82b9b3,gemini,CR01,contextual_reasoning,nominal,,0.0,3,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,69,gemini-2.5-flash,gemini-2.5-flash,2026-08-29T14:44:24.531698+00:00,2a6fab9199bc3765e605b26548ed250cf0d3b1aa81a78031e7c646510c588c91,2026-08-29T18:47:09.043411+00:00,BAAI/bge-small-en-v1.5
4,b24a4c21b3afeaae36f8c693,gemini,CR01,contextual_reasoning,nominal,,0.0,4,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,78,gemini-2.5-flash,gemini-2.5-flash,2026-08-29T14:44:25.662482+00:00,74545fe96c09b30e44da1446abda63bf39bf21d9dbbc61b40a1bad178450585d,2026-08-29T18:47:09.043411+00:00,BAAI/bge-small-en-v1.5
5,be2ebecd4e5728b11759f0b2,gemini,CR01,contextual_reasoning,nominal,,0.0,5,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,68,gemini-2.5-flash,gemini-2.5-flash,2026-08-29T14:44:26.668965+00:00,bf3d0c6cd9716644f4c586f3137a4341406060bc2c352db6a0885222e84086d9,2026-08-29T18:47:09.043411+00:00,BAAI/bge-small-en-v1.5
6,36bb0da97d25016f3716e74f,gemini,CR01,contextual_reasoning,nominal,,0.0,6,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,71,gemini-2.5-flash,gemini-2.5-flash,2026-08-29T14:44:27.671287+00:00,be4db9c6a4f741dbc7af7b27be0f73fa77f89118582a39c8943ae4df65a989d1,2026-08-29T18:47:09.043411+00:00,BAAI/bge-small-en-v1.5
7,f58b951bddb26d0bc02892a4,gemini,CR01,contextual_reasoning,nominal,,0.0,7,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,67,gemini-2.5-flash,gemini-2.5-flash,2026-08-29T14:44:28.743725+00:00,0d7891d19d7d30308bd03df929ac9a479685f4a0f0b2cbbd7419c73d60a6aa63,2026-08-29T18:47:09.043411+00:00,BAAI/bge-small-en-v1.5
8,3de121bba6421cb595dbe89f,gemini,CR01,contextual_reasoning,nominal,,0.0,8,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,80,gemini-2.5-flash,gemini-2.5-flash,2026-08-29T14:44:29.816056+00:00,db98d7b865364425c59cd15d892182b3ac2737b7f2759befc4c29d276a4d07d1,2026-08-29T18:47:09.043411+00:00,BAAI/bge-small-en-v1.5
9,e90369848aaac0a050db1460,gemini,CR01,contextual_reasoning,nominal,,0.0,9,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,67,gemini-2.5-flash,gemini-2.5-flash,2026-08-29T14:44:30.822120+00:00,bb18927009496d0bcacd364c2530cdf11886e1339aa2f2ef47e85a490e0404f4,2026-08-29T18:47:09.043411+00:00,BAAI/bge-small-en-v1.5
10,6fa80772d5c3cc4594346e4e,gemini,CR01,contextual_reasoning,nominal,,0.0,10,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,75,gemini-2.5-flash,gemini-2.5-flash,2026-08-29T14:44:31.820052+00:00,861a74641ae3e1a2971fa4df2539ce1d5bd84f130c0db3688b0b1182807e0d85,2026-08-29T18:47:09.043411+00:00,BAAI/bge-small-en-v1.5
11,6268edf4a92c73c9f7b07be4,gemini,CR01,contextual_reasoning,nominal,,0.0,11,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,75,gemini-2.5-flash,gemini-2.5-flash,2026-08-29T14:44:32.932144+00:00,b4e9490f98930cfa505f2664cafbbc7614976145ce1862bdcf2eae6303684d32,2026-08-29T18:47:09.043411+00:00,BAAI/bge-small-en-v1.5
12,6cdecc12b91ec569edf689a4,gemini,CR01,contextual_reasoning,nominal,,0.0,12,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,65,gemini-2.5-flash,gemini-2.5-flash,2026-08-29T14:44:33.911974+00:00,6377b89c0c788741f45c915d6d69f9505961b0a13bbe49283dbdebe69f8c9e74,2026-08-29T18:47:09.043411+00:00,BAAI/bge-small-en-v1.5
13,3adb3b2e52e35501b02f926f,gemini,CR01,contextual_reasoning,nominal,,0.0,13,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,81,gemini-2.5-flash,gemini-2.5-flash,2026-08-29T14:44:35.060014+00:00,8e17384e6d11b35a7ee799f120ac5ffda383197d498f333efc5d84310191de68,2026-08-29T18:47:09.043411+00:00,BAAI/bge-small-en-v1.5
