provider,perturbation_family,lambda,median_rho,q25_rho,q75_rho,mean_rho,mean_exceedance_rate,median_exceedance_rate,n_scenarios
gemini,context_removal,0.25,6.66962348133106,3.8399604984746003,9.954522875439729,7.6130157239082425,0.9507249999999999,1.0,20
gemini,context_removal,0.5,12.755145846702,6.299488284518599,16.691782558280423,12.81223788084589,1.0,1.0,20
gemini,context_removal,0.75,15.738708300679669,14.336394358308809,17.631080479971715,15.86770720412294,1.0,1.0,20
gemini,context_removal,1.0,15.075792145588109,11.596874227320729,16.340738577844576,14.48193343744956,1.0,1.0,20
gemini,semantic,0.25,3.1276682874868142,1.3491009139018753,4.50675834331075,3.529333685375705,0.896825,1.0,20
gemini,semantic,0.5,9.74371619026382,4.795266458907184,13.980285603379205,9.960548050439554,1.0,1.0,20
gemini,semantic,0.75,10.594747226040303,6.801917061805373,16.776120494005582,12.069198643130973,1.0,1.0,20
gemini,semantic,1.0,11.513535795709569,7.553468407846896,17.298845799995203,12.431981763980058,1.0,1.0,20
gemini,surface,0.25,10.521749334273778,5.027264205278416,14.390185357393133,10.525489343248317,1.0,1.0,20
gemini,surface,0.5,10.003278167028027,7.1722700347810955,13.642130752552177,11.261675304608811,1.0,1.0,20
gemini,surface,0.75,14.693870084888726,12.39930161417735,17.58579732829108,14.162472906012997,1.0,1.0,20
gemini,surface,1.0,14.44157750207311,12.235675061253207,17.918042641289333,14.582278308408458,1.0,1.0,20
openai,context_removal,0.25,3.88066195122462,3.115891185952264,10.352547679264951,7.255523712498255,1.0,1.0,20
openai,context_removal,0.5,12.419628219484395,8.982674105758749,19.396094731804464,13.730652487502983,1.0,1.0,20
openai,context_removal,0.75,15.753617509779383,14.520498675456956,19.707188492596472,16.3709175148472,1.0,1.0,20
openai,context_removal,1.0,15.170513351494254,13.938957754032305,18.240337208470024,15.879512117101712,1.0,1.0,20
openai,semantic,0.25,1.7746126957920851,0.9272532154530202,4.493304183967987,3.245294452451007,0.70275,0.9822500000000001,20
openai,semantic,0.5,7.129295481537047,5.474480572995712,13.054921582917311,8.874359583390184,1.0,1.0,20
openai,semantic,0.75,9.476806321500439,6.3878241410995145,13.548070645940498,10.45428553339265,1.0,1.0,20
openai,semantic,1.0,9.37227995100815,7.56964110054645,13.296556004509762,10.274107237722783,1.0,1.0,20
openai,surface,0.25,8.020621903992197,6.476645520317885,10.438866094316818,9.222011110815245,1.0,1.0,20
openai,surface,0.5,10.770951494129505,9.212544935739873,12.563432956319495,11.659735040805332,1.0,1.0,20
openai,surface,0.75,11.42803145156159,9.37634241816443,16.752040393794196,12.987419214077917,1.0,1.0,20
openai,surface,1.0,14.626536415608747,11.959611580921898,18.4405043187595,15.374675634487767,1.0,1.0,20
qwen,context_removal,0.25,14.204051637415382,8.611731294027086,15.768113586301647,12.466325577853175,1.0,1.0,20
qwen,context_removal,0.5,16.447897845601453,12.787341228296349,20.554991363490046,17.452843947599654,1.0,1.0,20
qwen,context_removal,0.75,18.95277952693511,17.396288661478998,20.76584531597217,17.956907514130627,1.0,1.0,20
qwen,context_removal,1.0,16.674382860990917,14.894893390182874,18.6729316987984,16.52374734135992,1.0,1.0,20
qwen,semantic,0.25,4.830670507393037,3.4462716392875326,10.392415897036283,7.149743128671777,0.907925,1.0,20
qwen,semantic,0.5,14.346542480863588,11.468477306358364,19.460017235830826,14.953273411470292,1.0,1.0,20
qwen,semantic,0.75,15.031397540775327,11.553176181634814,18.5844746083158,15.026485829744889,1.0,1.0,20
qwen,semantic,1.0,17.247570608085695,15.360314355018307,19.909441383019903,16.4107682300201,1.0,1.0,20
qwen,surface,0.25,13.748079493010934,12.352674605075768,20.615401669613803,15.775702658023201,1.0,1.0,20
qwen,surface,0.5,15.6195323902387,11.344929198086415,20.096281216710036,15.517880579103675,1.0,1.0,20
qwen,surface,0.75,17.963158183964744,15.336320682680869,20.24515672646391,17.15915334449541,1.0,1.0,20
qwen,surface,1.0,20.76604654374708,14.166662153532078,23.806396350559044,19.262578288587328,1.0,1.0,20
