provider,perturbation_family,sample_size,reference_n,median_relative_deviation,q90_relative_deviation,mean_exceedance_agreement,median_exceedance_agreement,mean_exceedance_rate,median_rank_stability,mean_rank_stability
gemini,context_removal,3,30,0.8501987386892846,0.8720903261228805,0.8950250000000001,1.0,0.884925,1.0,0.97
gemini,context_removal,5,30,0.7875632131370992,0.8070818894988495,0.95625,1.0,0.9461,1.0,0.99
gemini,context_removal,7,30,0.7260390403605497,0.7430349099535823,0.97895,1.0,0.9679499999999999,1.0,1.0
gemini,context_removal,10,30,0.6295055701697694,0.645527410707149,0.98885,1.0,0.9782249999999999,1.0,1.0
gemini,context_removal,15,30,0.4786490189263256,0.49760273018363016,0.996275,1.0,0.985375,1.0,0.99
gemini,context_removal,20,30,0.3162297675640903,0.32811837379739783,0.9990875000000001,1.0,0.9879625000000001,1.0,1.0
gemini,context_removal,25,30,0.14917420226070305,0.18712401430975234,0.9994999999999999,1.0,0.9877,1.0,1.0
gemini,context_removal,30,30,0.0,0.0,1.0,1.0,0.9878,1.0,1.0
gemini,semantic,3,30,0.8361599561720239,0.8718875246804534,0.7477,0.934,0.7282,1.0,0.9800000000000001
gemini,semantic,5,30,0.7735597095491877,0.8072601122901693,0.8591749999999999,1.0,0.839925,1.0,0.9800000000000001
gemini,semantic,7,30,0.7101772744202157,0.7411571596421782,0.906125,1.0,0.8867499999999999,1.0,0.9800000000000001
gemini,semantic,10,30,0.6167496538113233,0.6446319540770328,0.930525,1.0,0.9136,1.0,0.99
gemini,semantic,15,30,0.4683322203812208,0.49833441275793516,0.9505125,1.0,0.9340875000000001,1.0,1.0
gemini,semantic,20,30,0.30895465066711875,0.32879584715478566,0.9639,1.0,0.9497,1.0,1.0
gemini,semantic,25,30,0.14982174984776814,0.18088113102239653,0.9754125,1.0,0.9634125000000001,1.0,1.0
gemini,semantic,30,30,0.0,0.0,1.0,1.0,0.97715,1.0,1.0
gemini,surface,3,30,0.8522452433314688,0.8731768201182438,0.8980874999999999,1.0,0.8980874999999999,1.0,0.93
gemini,surface,5,30,0.7905332840743589,0.8086973869136103,0.9715125,1.0,0.9715125,1.0,0.95
gemini,surface,7,30,0.7272112996025661,0.7460429141541267,0.9910875000000001,1.0,0.9910875000000001,1.0,0.97
gemini,surface,10,30,0.6297506085096867,0.6466497954986046,0.9970375,1.0,0.9970375,1.0,1.0
gemini,surface,15,30,0.484005171791246,0.4988441590035507,0.9996499999999999,1.0,0.9996499999999999,1.0,1.0
gemini,surface,20,30,0.3186368684745918,0.32928520108337767,1.0,1.0,1.0,1.0,1.0
