provider,scenario_id,sample_size,bandwidth,threshold,calibration_mean,calibration_median,calibration_sd,B
openai,CP01,3,0.2239787883673933,0.39549134489439414,0.2571067262093121,0.24703895815946575,0.07512372790754879,2000
openai,CP01,5,0.2239787883673933,0.24349371233655123,0.15628326668718745,0.14902847757607984,0.0461290868026233,2000
openai,CP01,7,0.2239787883673933,0.17418307052347246,0.11158283317834676,0.10685813751000395,0.03284316871210973,2000
openai,CP01,10,0.2239787883673933,0.12148031651250703,0.07796007744035403,0.07400897396604,0.02231859361610917,2000
openai,CP01,15,0.2239787883673933,0.07943629458949607,0.051498068758451976,0.04896256173229441,0.014596226875943814,2000
openai,CP01,20,0.2239787883673933,0.05906102081470274,0.038672003591357154,0.03687639788608754,0.010924813285075725,2000
openai,CP01,25,0.2239787883673933,0.04841224771205613,0.031161625482063374,0.02966406039418268,0.009017716485977932,2000
openai,CP01,30,0.2239787883673933,0.03943941835217383,0.025806634429810932,0.02451658415745106,0.007370200001146441,2000
openai,CP02,3,0.28125953865671866,0.4161943663555144,0.26920277663404274,0.2553620466604011,0.07806858903196359,2000
openai,CP02,5,0.28125953865671866,0.24476220218255101,0.16001499813922226,0.15278968739657217,0.04592635182107123,2000
openai,CP02,7,0.28125953865671866,0.17664383135699085,0.11493326894858073,0.10940622056906468,0.032967331115651456,2000
openai,CP02,10,0.28125953865671866,0.11877087404693093,0.0788905407241419,0.07528558184364464,0.021720157299301816,2000
openai,CP02,15,0.28125953865671866,0.08083748078031108,0.0535156975471101,0.05087994843259558,0.015287007284521842,2000
openai,CP02,20,0.28125953865671866,0.061260801647644844,0.03984886927281526,0.03774136098122882,0.011232748487860775,2000
openai,CP02,25,0.28125953865671866,0.04852072221475462,0.03167581103743907,0.02992807879462045,0.008999673402771698,2000
openai,CP02,30,0.28125953865671866,0.040498316936990575,0.02676426816623631,0.0254105590008733,0.007471323390778882,2000
openai,CP03,3,0.2841057639379213,0.46121528126338107,0.27294683987939605,0.2550579269115788,0.09649360777240389,2000
openai,CP03,5,0.2841057639379213,0.275074124023467,0.16557631622565425,0.15465814560174163,0.05674674515608897,2000
openai,CP03,7,0.2841057639379213,0.1970200716700269,0.11831871766490698,0.10933923674430357,0.041571717694174004,2000
openai,CP03,10,0.2841057639379213,0.1383147353388963,0.08303591101938781,0.07652138981286694,0.02827211764334384,2000
openai,CP03,15,0.2841057639379213,0.09459657052265337,0.05488093034955739,0.050494309419416905,0.019830460265251856,2000
openai,CP03,20,0.2841057639379213,0.06895524611002768,0.04154350660378769,0.03858879047927066,0.014586110080238945,2000
openai,CP03,25,0.2841057639379213,0.05476732384986055,0.03295052195855384,0.030457265606469552,0.011779300398849358,2000
openai,CP03,30,0.2841057639379213,0.04543872105924818,0.027539417339547078,0.02545831700597445,0.009569163777371804,2000
openai,CP04,3,0.23086493297827004,0.3810785532813134,0.2647165944245261,0.25675963516109923,0.06589369629392722,2000
openai,CP04,5,0.23086493297827004,0.22957965134103975,0.16155711963504293,0.15673499555233505,0.03760383671445437,2000
openai,CP04,7,0.23086493297827004,0.16216048856091453,0.11431222210377519,0.11066052670728077,0.027130190019912414,2000
openai,CP04,10,0.23086493297827004,0.11578267093839403,0.0802425225427256,0.0775451910600502,0.01873442951875509,2000
openai,CP04,15,0.23086493297827004,0.07668240330354056,0.05347547780439609,0.05185632682216368,0.012233705613531216,2000
openai,CP04,20,0.23086493297827004,0.057121548882368214,0.03970387154649984,0.03827320750412955,0.009377835503616372,2000
openai,CP04,25,0.23086493297827004,0.04584492069721828,0.032033016050221776,0.031005564541664365,0.0073080599233138425,2000
openai,CP04,30,0.23086493297827004,0.03861657661652727,0.026703134824047934,0.02572981327064172,0.006276386572813724,2000
openai,CP05,3,0.2301997225970237,0.38251328567002596,0.2621094243271016,0.2515189962503711,0.0660757374894459,2000
openai,CP05,5,0.2301997225970237,0.2347063020936174,0.16018958456343882,0.1540629222784401,0.03969716512967003,2000
openai,CP05,7,0.2301997225970237,0.16712857103635775,0.1138218026872625,0.10987315458086899,0.028753243089330926,2000
openai,CP05,10,0.2301997225970237,0.11376102875427509,0.07915145690055204,0.07676998907375432,0.019370093614158222,2000
openai,CP05,15,0.2301997225970237,0.07622663923884967,0.05378960314258002,0.052387542463204095,0.01321123027568218,2000
openai,CP05,20,0.2301997225970237,0.05782079488947139,0.039767949773176485,0.03824452626257224,0.009667720449669064,2000
openai,CP05,25,0.2301997225970237,0.04657196283561312,0.0317271617393625,0.0303691440751801,0.007869054735109494,2000
openai,CP05,30,0.2301997225970237,0.03920815109108844,0.02671681676761714,0.02561247094577601,0.006562113262501567,2000
openai,CR01,3,0.23352537715060523,0.40871187021453265,0.2692926092883041,0.25967881837737516,0.07770155163692598,2000
openai,CR01,5,0.23352537715060523,0.2508839060537461,0.16129872734560521,0.15320420639041932,0.04787030589443787,2000
openai,CR01,7,0.23352537715060523,0.17638945642576973,0.11556058598097455,0.1107106183857004,0.03281202630450494,2000
openai,CR01,10,0.23352537715060523,0.12550731592332043,0.08035903984862504,0.07678710367086083,0.02324488031428051,2000
openai,CR01,15,0.23352537715060523,0.08345034205363203,0.05354173306464068,0.05073594593116426,0.015254898536018925,2000
openai,CR01,20,0.23352537715060523,0.06235765929314153,0.04037634193650128,0.03857049404187729,0.011689501079203638,2000
openai,CR01,25,0.23352537715060523,0.04982279512482997,0.032006492755310235,0.030160687034414324,0.009090841497991385,2000
openai,CR01,30,0.23352537715060523,0.04110886485447136,0.02659865611983299,0.025119171964455123,0.007666012148231976,2000
openai,CR02,3,0.24906794536999258,0.4483525579420322,0.2751420856621254,0.25590439245044483,0.09375614812842369,2000
openai,CR02,5,0.24906794536999258,0.2723055982188593,0.16525766681699094,0.15445150527724294,0.05517740197103638,2000
openai,CR02,7,0.24906794536999258,0.19043646501621916,0.11785136577587187,0.10965628805716843,0.038721376910680325,2000
openai,CR02,10,0.24906794536999258,0.13256423511915838,0.08293353663803643,0.07768990107659823,0.026342982868920787,2000
openai,CR02,15,0.24906794536999258,0.09021793765445577,0.055201859376901835,0.05135562938353788,0.017600190974944273,2000
