provider,scenario_id,perturbation_family,sample_size,reference_n,rank_stability_vs_reference
gemini,CP01,context_removal,3,30,1.0
gemini,CP01,context_removal,5,30,1.0
gemini,CP01,context_removal,7,30,1.0
gemini,CP01,context_removal,10,30,1.0
gemini,CP01,context_removal,15,30,1.0
gemini,CP01,context_removal,20,30,1.0
gemini,CP01,context_removal,25,30,1.0
gemini,CP01,context_removal,30,30,1.0
gemini,CP01,semantic,3,30,0.7999999999999999
gemini,CP01,semantic,5,30,0.7999999999999999
gemini,CP01,semantic,7,30,0.7999999999999999
gemini,CP01,semantic,10,30,0.7999999999999999
gemini,CP01,semantic,15,30,1.0
gemini,CP01,semantic,20,30,1.0
gemini,CP01,semantic,25,30,1.0
gemini,CP01,semantic,30,30,1.0
gemini,CP01,surface,3,30,1.0
gemini,CP01,surface,5,30,1.0
gemini,CP01,surface,7,30,1.0
gemini,CP01,surface,10,30,1.0
gemini,CP01,surface,15,30,1.0
gemini,CP01,surface,20,30,1.0
gemini,CP01,surface,25,30,1.0
gemini,CP01,surface,30,30,1.0
gemini,CP02,context_removal,3,30,0.7999999999999999
gemini,CP02,context_removal,5,30,1.0
gemini,CP02,context_removal,7,30,1.0
gemini,CP02,context_removal,10,30,1.0
gemini,CP02,context_removal,15,30,1.0
gemini,CP02,context_removal,20,30,1.0
gemini,CP02,context_removal,25,30,1.0
gemini,CP02,context_removal,30,30,1.0
gemini,CP02,semantic,3,30,1.0
gemini,CP02,semantic,5,30,1.0
gemini,CP02,semantic,7,30,1.0
gemini,CP02,semantic,10,30,1.0
gemini,CP02,semantic,15,30,1.0
gemini,CP02,semantic,20,30,1.0
gemini,CP02,semantic,25,30,1.0
gemini,CP02,semantic,30,30,1.0
gemini,CP02,surface,3,30,0.7999999999999999
gemini,CP02,surface,5,30,0.7999999999999999
gemini,CP02,surface,7,30,0.7999999999999999
gemini,CP02,surface,10,30,1.0
gemini,CP02,surface,15,30,1.0
gemini,CP02,surface,20,30,1.0
gemini,CP02,surface,25,30,1.0
gemini,CP02,surface,30,30,1.0
gemini,CP03,context_removal,3,30,1.0
gemini,CP03,context_removal,5,30,1.0
gemini,CP03,context_removal,7,30,1.0
gemini,CP03,context_removal,10,30,1.0
gemini,CP03,context_removal,15,30,1.0
gemini,CP03,context_removal,20,30,1.0
gemini,CP03,context_removal,25,30,1.0
gemini,CP03,context_removal,30,30,1.0
gemini,CP03,semantic,3,30,1.0
gemini,CP03,semantic,5,30,1.0
gemini,CP03,semantic,7,30,1.0
gemini,CP03,semantic,10,30,1.0
gemini,CP03,semantic,15,30,1.0
gemini,CP03,semantic,20,30,1.0
gemini,CP03,semantic,25,30,1.0
gemini,CP03,semantic,30,30,1.0
gemini,CP03,surface,3,30,1.0
gemini,CP03,surface,5,30,0.7999999999999999
gemini,CP03,surface,7,30,1.0
gemini,CP03,surface,10,30,1.0
gemini,CP03,surface,15,30,1.0
gemini,CP03,surface,20,30,1.0
gemini,CP03,surface,25,30,1.0
gemini,CP03,surface,30,30,1.0
gemini,CP04,context_removal,3,30,1.0
gemini,CP04,context_removal,5,30,1.0
gemini,CP04,context_removal,7,30,1.0
gemini,CP04,context_removal,10,30,1.0
gemini,CP04,context_removal,15,30,1.0
gemini,CP04,context_removal,20,30,1.0
gemini,CP04,context_removal,25,30,1.0
gemini,CP04,context_removal,30,30,1.0
gemini,CP04,semantic,3,30,1.0
gemini,CP04,semantic,5,30,1.0
gemini,CP04,semantic,7,30,1.0
gemini,CP04,semantic,10,30,1.0
gemini,CP04,semantic,15,30,1.0
gemini,CP04,semantic,20,30,1.0
gemini,CP04,semantic,25,30,1.0
gemini,CP04,semantic,30,30,1.0
gemini,CP04,surface,3,30,1.0
gemini,CP04,surface,5,30,1.0
gemini,CP04,surface,7,30,1.0
gemini,CP04,surface,10,30,1.0
gemini,CP04,surface,15,30,1.0
gemini,CP04,surface,20,30,1.0
gemini,CP04,surface,25,30,1.0
gemini,CP04,surface,30,30,1.0
gemini,CP05,context_removal,3,30,1.0
gemini,CP05,context_removal,5,30,1.0
gemini,CP05,context_removal,7,30,1.0
gemini,CP05,context_removal,10,30,1.0
gemini,CP05,context_removal,15,30,1.0
gemini,CP05,context_removal,20,30,1.0
gemini,CP05,context_removal,25,30,1.0
gemini,CP05,context_removal,30,30,1.0
gemini,CP05,semantic,3,30,1.0
gemini,CP05,semantic,5,30,1.0
gemini,CP05,semantic,7,30,1.0
gemini,CP05,semantic,10,30,1.0
gemini,CP05,semantic,15,30,1.0
gemini,CP05,semantic,20,30,1.0
gemini,CP05,semantic,25,30,1.0
gemini,CP05,semantic,30,30,1.0
gemini,CP05,surface,3,30,1.0
gemini,CP05,surface,5,30,1.0
gemini,CP05,surface,7,30,1.0
gemini,CP05,surface,10,30,1.0
gemini,CP05,surface,15,30,1.0
gemini,CP05,surface,20,30,1.0
gemini,CP05,surface,25,30,1.0
gemini,CP05,surface,30,30,1.0
gemini,CR01,context_removal,3,30,1.0
gemini,CR01,context_removal,5,30,1.0
gemini,CR01,context_removal,7,30,1.0
gemini,CR01,context_removal,10,30,1.0
gemini,CR01,context_removal,15,30,1.0
gemini,CR01,context_removal,20,30,1.0
gemini,CR01,context_removal,25,30,1.0
gemini,CR01,context_removal,30,30,1.0
gemini,CR01,semantic,3,30,1.0
gemini,CR01,semantic,5,30,1.0
gemini,CR01,semantic,7,30,1.0
gemini,CR01,semantic,10,30,1.0
gemini,CR01,semantic,15,30,1.0
gemini,CR01,semantic,20,30,1.0
